HDI rank;Country;Human Development Index;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita
97;Suriname;0.738;71.7;13.2;9.3;14324.38
61;Georgia;0.812;73.8;15.3;13.1;14428.80
86;Saint Lucia;0.759;76.2;14.0;8.5;14615.57
92;Lebanon;0.744;78.9;11.3;8.7;14654.53
73;Bosnia and Herzegovina;0.780;77.4;13.8;9.8;14871.81
111;Turkmenistan;0.715;68.2;11.2;10.3;14908.67
58;Barbados;0.814;79.2;15.4;10.6;14935.91
74;Grenada;0.779;72.4;16.9;9.0;15640.89
105;Libya;0.724;72.9;12.9;7.6;15687.71
82;North Macedonia;0.774;75.8;13.6;9.8;15864.63
85;China;0.761;76.9;14.0;8.1;16057.40
100;Botswana;0.735;69.6;12.8;9.6;16437.14
64;Serbia;0.806;76.0;14.7;11.2;17191.67
95;Maldives;0.740;78.9;12.2;7.0;17416.78
88;Dominican Republic;0.756;74.1;14.2;8.1;17591.07
79;Thailand;0.777;77.2;15.0;7.9;17781.19
62;Costa Rica;0.810;80.3;15.7;8.7;18486.37
53;Belarus;0.823;74.8;15.4;12.3;18546.49
74;Mexico;0.779;75.1;14.8;8.8;19159.84
50;Palau;0.826;73.9;15.8;12.5;19316.97
55;Uruguay;0.817;77.9;16.8;8.9;20063.64
78;Antigua and Barbuda;0.778;77.0;12.8;9.3;20895.36
46;Argentina;0.845;76.7;17.7;10.9;21190.18
48;Montenegro;0.829;76.9;15.0;11.6;21399.25
51;Kazakhstan;0.825;73.6;15.6;11.9;22857.46
43;Chile;0.851;80.2;16.4;10.6;23261.30
56;Bulgaria;0.816;75.1;14.4;11.4;23324.66
74;Saint Kitts and Nevis;0.779;74.8;13.8;8.7;25037.51
66;Mauritius;0.804;75.0;15.1;9.5;25266.21
60;Oman;0.813;77.9;14.2;9.7;25944.07
52;Russian Federation;0.824;72.6;15.0;12.2;26157.05
67;Trinidad and Tobago;0.796;73.5;13.0;11.0;26230.72
67;Seychelles;0.796;73.4;14.1;10.0;26903.25
62;Malaysia;0.810;76.2;13.7;10.4;27534.10
54;Turkey;0.820;77.7;16.6;8.1;27700.89
43;Croatia;0.851;78.5;15.2;11.4;28069.85
49;Romania;0.828;76.1;14.3;11.1;29497.23
57;Panama;0.815;78.5;12.9;10.2;29557.67
32;Greece;0.888;82.2;17.9;10.6;30154.63
37;Latvia;0.866;75.3;16.2;13.0;30282.39
40;Hungary;0.854;76.9;15.2;12.0;31328.81
35;Poland;0.880;78.7;16.3;12.5;31622.55
39;Slovakia;0.860;77.5;14.5;12.7;32113.05
58;Bahamas;0.814;73.9;12.9;11.4;33747.21
38;Portugal;0.864;82.1;16.5;9.3;33966.83
34;Lithuania;0.882;75.9;16.6;13.1;35798.67
29;Estonia;0.892;78.8;16.0;13.1;36019.27
22;Slovenia;0.917;81.3;17.6;12.7;38079.53
27;Czechia;0.900;79.4;16.8;12.7;38108.57
33;Cyprus;0.887;81.0;15.2;12.2;38206.84
28;Malta;0.895;82.5;16.1;11.3;39554.52
19;Israel;0.919;83.0;16.2;13.0;40186.85
14;New Zealand;0.931;82.3;18.8;12.8;40798.72
25;Spain;0.904;83.6;17.6;10.3;40974.52
42;Bahrain;0.852;77.3;16.3;9.5;42521.70
29;Italy;0.892;83.5;16.1;10.4;42776.36
19;Japan;0.919;84.6;15.2;12.9;42931.70
23;Korea (Republic of);0.916;83.0;16.5;12.2;43043.71
